date,state,shape
2013-10-01,TN,circle
2013-10-01,MI,unknown
2013-10-01,IA,triangle
2013-10-01,NY,fireball
2013-10-01,WI,unknown
1971-10-12,NY,chevron
1973-10-12,AL,disk
1976-10-12,KS,disk
1978-10-12,TN,triangle
1978-10-12,AZ,circle
1979-10-12,NJ,rectangle
1982-10-12,MS,light
1982-10-12,MS,light
1985-10-12,NC,disk
1994-10-12,NY,other
1994-10-12,KY,chevron
1994-10-12,FL,disk
1995-10-12,CO,triangle
1997-10-12,CA,sphere
1997-10-12,LA,disk
1997-10-12,IL,light
1997-10-12,NH,other
1998-10-12,NE,egg
1998-10-12,UT,light
1998-10-12,NC,fireball
1998-10-12,NC,light
1999-10-12,MT,triangle
1999-10-12,OR,fireball
1999-10-12,OK,oval
1999-10-12,PA,fireball
1999-10-12,AZ,cigar
1999-10-12,AZ,triangle
1999-10-12,WA,triangle
1999-10-12,AZ,fireball
1999-10-12,OK,other
1999-10-12,MN,formation
2000-10-12,TX,other
2000-10-12,TN,disk
2000-10-12,WV,disk
2000-10-12,VT,cigar
2000-10-12,AZ,oval
2000-10-12,AZ,unknown
2000-10-12,OK,fireball
2000-10-12,AZ,light
2001-10-12,FL,circle
2001-10-12,FL,disk
2001-10-12,CO,disk
2001-10-12,AZ,formation
2001-10-12,AK,other
2002-10-12,CA,disk
2002-10-12,TX,circle
2002-10-12,CA,unknown
2002-10-12,NJ,light
2002-10-12,AZ,formation
2002-10-12,WA,disk
2002-10-12,ID,light
2002-10-12,TX,triangle
2002-10-12,FL,light
2002-10-12,TX,triangle
2003-10-12,NY,unknown
2003-10-12,CA,circle
2003-10-12,PA,fireball
2003-10-12,CA,other
2003-10-12,IN,other
2003-10-12,SC,other
2003-10-12,TX,sphere
2004-10-12,CO,sphere
2004-10-12,WA,formation
2004-10-12,CA,other
2004-10-12,MD,light
2004-10-12,NY,light
2004-10-12,CA,sphere
2004-10-12,FL,light
2004-10-12,FL,light
2004-10-12,WA,fireball
2004-10-12,CA,triangle
2005-10-12,CA,fireball
2005-10-12,LA,oval
2005-10-12,FL,formation
2005-10-12,IN,light
2005-10-12,IN,light
2005-10-12,AZ,light
2005-10-12,AZ,sphere
2005-10-12,AZ,triangle
2005-10-12,TX,changing
2005-10-12,CA,unknown
2006-10-12,MA,formation
2006-10-12,FL,sphere
2006-10-12,MI,light
2006-10-12,CO,triangle
2007-10-12,UT,triangle
2007-10-12,MO,formation
2007-10-12,NY,light
2007-10-12,FL,formation
2007-10-12,PA,sphere
2007-10-12,CA,unknown
2007-10-12,WI,circle
2007-10-12,CA,NA
2007-10-12,CA,circle
2007-10-12,PA,oval
2007-10-12,AR,unknown
2007-10-12,PA,triangle
2008-10-12,NY,light
2008-10-12,PA,cigar
2008-10-12,PA,diamond
2008-10-12,NM,disk
2008-10-12,PA,other
2008-10-12,KY,circle
2008-10-12,WA,light
2008-10-12,TX,light
2008-10-12,TN,changing
2008-10-12,VA,light
2008-10-12,NV,changing
2008-10-12,MI,circle
2009-10-12,NH,unknown
2009-10-12,GA,formation
2009-10-12,WA,light
2009-10-12,TX,unknown
2010-10-12,TX,triangle
2010-10-12,TX,cigar
2010-10-12,SD,light
2010-10-12,CA,other
2010-10-12,CA,other
2010-10-12,TX,oval
2010-10-12,MI,circle
2010-10-12,VA,sphere
2010-10-12,TX,cigar
2010-10-12,AL,chevron
2010-10-12,MO,rectangle
